lambda=0.1	lambda=0.3	lambda=0.7	lambda=1	
0.467592592592593	0.569583931133429	0.476380952380952	0.238095238095238	
0.252606835626813	0.310699588477366	0.217669383897454	0.161311301847119	
0.328765753170678	0.363333333333333	0.215973164480627	0.137144828899088	
0.232623539982031	0.175847544268597	0.289860296616882	0.365428372796794	
0.70911733615222	0.535838051123692	0.287786791722561	0.340559440559441	
0.224675836377964	0.615	0.414742389570765	0.335117858332144	
0.430539891395155	0.380766406038145	0.582804232804233	0.479365079365079	
0.305775756224709	0.252006846753453	0.40949815270936	0.413015873015873	
0.53533376375448	0.367840374051554	0.308491073196956	0.626282051282051	
0.472883403361345	0.639506172839506	0.423984204546864	0.532319259992398	
0.522169984535576	0.47359626716856	0.370060568086884	0.581728524743231	
0.485195141775787	0.378933381433381	0.483328481135499	0.307387322822105	
0.4651647981475	0.445421362303993	0.343995980355007	0.513869667987315	
0.410072792274805	0.440841801549181	0.462094229001416	0.56131581944749	
0.560266516516516	0.401170536452794	0.582020626432391	0.477471791567163	
0.568241699820647	0.468992852501624	0.409006006248653	0.469193869855635	
0.411937082525318	0.455167318062055	0.573233963133344	0.451530069648281	
0.388300292300292	0.706112637362637	0.592260469415642	0.653472222222222	
0.402331002331002	0.56010121704024	0.669035087719298	0.474353952107159	
0.568253968253968	0.62304341196329	0.620512820512821	0.503915447653262	
0.477072310405644	0.440278136895784	0.536996336996337	0.60425073984396	
0.702066452066452	0.642149122807018	0.395710784313726	0.561063011063011	
0.557341342867659	0.438728041824017	0.521825396825397	0.425259462759463	
0.467811813790075	0.404220779220779	0.547031539888683	0.611315359477124	
0.372710213092889	0.7165544332211	0.51382074715408	0.58356295878035	
0.524966083299417	0.518868300315669	0.769514066496164	0.554954146730463	
0.626558441558442	0.654395743145743	0.531026228136195	0.482044711824124	
0.538470418470418	0.45536858974359	0.600632845730885	0.660408684546616	
0.442581369248036	0.494751776001776	0.473571413270661	0.612037037037037	
0.465432098765432	0.59391290726817	0.737593270926604	0.63025863025863	
0.696721180054513	0.545164835164835	0.628336940836941	0.455364974937343	
0.599359668109668	0.669172289698605	0.551879674428694	0.737338612368024	
0.435247371899526	0.600999000999001	0.53940620782726	0.649718381976446	
0.540244366744367	0.780555555555556	0.622094508301405	0.648134741075918	
0.438963344054877	0.521934682964095	0.643962326632383	0.501001607962559	
0.633105841526894	0.470411908835554	0.60957005957006	0.539130434782609	
0.533629148629149	0.703436797121008	0.608337813239774	0.714285714285714	
0.589167974882261	0.778470418470419	0.564504008536266	0.621435533277638	
0.580641708437761	0.672525252525252	0.518251229103942	0.5084369668477	
0.456269841269841	0.540652125652126	0.655561514508883	0.631756854256854	
0.496017822333612	0.749509803921569	0.568288084464555	0.572121212121212	
0.629142300194932	0.645918367346939	0.610018993352327	0.634340659340659	
0.591071428571429	0.662781662781663	0.601234684855374	0.618454470178608	
0.621831501831502	0.526129718234981	0.619708580892791	0.755759055759056	
0.738479532163743	0.559452535768325	0.686111111111111	0.710875090777052	
0.586507936507936	0.723232323232323	0.654385964912281	0.559680054817626	
0.542410126105778	0.575376360825277	0.686845154049455	0.651903651903652	
0.607772166105499	0.673083583083583	0.69474025974026	0.77312091503268	
0.771915584415585	0.795238095238095	0.725476190476191	0.633908683908684	
0.493848003848004	0.707258852258852	0.538636363636364	0.645320073803046	
0.706696428571429	0.774458874458875	0.536507936507937	0.567025089605735	
0.634538415756166	0.755952380952381	0.582630223806694	0.704585537918871	
0.800746753246753	0.737037037037037	0.806373626373626	0.686372655122655	
0.711320901320901	0.726666307548661	0.618707279562543	0.602124183006536	
0.592227538543328	0.734035087719298	0.781128747795414	0.545258445258445	
0.634567901234568	0.722566833751044	0.581598194833489	0.651493937349201	
0.622489601901367	0.654889451793477	0.65530303030303	0.686755952380952	
0.726416916416916	0.531475468975469	0.666137566137566	0.601352813852814	
0.558178780284043	0.684149184149184	0.793298319327731	0.807890095609394	
0.552899960276272	0.671856495994427	0.866666666666667	0.711831233399861	
0.765740740740741	0.613005279034691	0.766975308641975	0.746303258145363	
0.726899777624415	0.660980631568867	0.726890756302521	0.746705146705147	
0.594802365390601	0.547341993045318	0.590476190476191	0.598906926406926	
0.805274971941639	0.557687728937729	0.634911616161616	0.667648136177548	
0.693268719584509	0.701884535217869	0.637433862433862	0.745366978700312	
0.667276451147419	0.710545627212294	0.694959621275411	0.703553391053391	
0.725792790705071	0.62554210495387	0.731585081585082	0.745679012345679	
0.604424333836099	0.534920634920635	0.87962962962963	0.796085858585859	
0.782207357859532	0.679181929181929	0.710595238095238	0.894500561167228	
0.68047619047619	0.785291324507011	0.778547378547378	0.789198103483818	
0.705742296918767	0.718106995884774	0.708591100257767	0.626439393939394	
0.576294614220578	0.736111111111111	0.662037037037037	0.73952380952381	
0.709970095264213	0.705541631857421	0.769	0.677302943969611	
0.756115779645191	0.68246003996004	0.731569664902998	0.707397660818713	
0.775895215895216	0.723636363636364	0.767875874125874	0.800352733686067	
0.695146198830409	0.697134611420326	0.663290276974488	0.731087947999713	
0.684897660818713	0.769809203142537	0.669202905797333	0.805515472182139	
0.735002278423331	0.801555555555555	0.887272727272727	0.788188002473717	
0.677994652406417	0.875490196078431	0.846649029982363	0.695889328063241	
0.685223665223665	0.619614952948286	0.630021367521368	0.815555555555555	
0.752923976608187	0.77624140565317	0.772916666666667	0.75659772326439	
0.836385836385836	0.699551066217733	0.605797279775608	0.761904761904762	
0.684821428571429	0.699142434626306	0.810582750582751	0.77484126984127	
0.717762237762238	0.817544677544678	0.802148468815135	0.65349218682552	
0.722200577200577	0.66845037678371	0.824074074074074	0.871108058608059	
0.804246370913038	0.747272727272727	0.866049382716049	0.748571428571429	
0.736758611758612	0.736334776334776	0.853383458646617	0.801558572146807	
0.807326007326007	0.597251310780723	0.718752186734643	0.748045288045288	
0.77962962962963	0.832703081232493	0.660747531335767	0.815547415547416	
0.767228087816323	0.654978354978355	0.705627705627706	0.786385836385836	
0.735551485551486	0.681125541125541	0.887125220458554	0.73125	
0.674518872939926	0.729761904761905	0.810582010582011	0.776512605042017	
0.874747474747475	0.819080919080919	0.8875	0.750980392156863	
0.687411711095922	0.62250700280112	0.804775471442138	0.788246753246753	
0.633003565062389	0.81463503816445	0.792593462823726	0.773494838494838	
0.79859477124183	0.655	0.871818181818182	0.893650793650794	
0.840451215451215	0.728376906318083	0.833876000542667	0.779285714285714	
0.638936988936989	0.718939393939394	0.68986568986569	0.618571428571429	
0.674283494283494	0.773504273504274	0.792636684303351	0.779081702611114	
0.686746031746032	0.808484848484848	0.771230158730159	0.762535612535613	
0.863762626262626	0.792331002331002	0.618925518925519	0.730665168165168	
0.794534632034632	0.757950074616741	0.750088183421517	0.842577030812325	
0.735957049486461	0.750184351252463	0.955	0.74997594997595	
0.774149184149184	0.739365079365079	0.830415263748597	0.729365079365079	
0.722723664364531	0.864761904761905	0.838804713804714	0.890984848484848	
0.707619047619048	0.855555555555556	0.80982683982684	0.745921622237412	
0.883333333333333	0.850704850704851	0.823088023088023	0.82875816993464	
0.868686868686869	0.781283993783994	0.609331409331409	0.666122004357299	
0.752445887445887	0.794472502805836	0.840618640618641	0.587214020547354	
0.777946127946128	0.845609945609946	0.752620929794843	0.828787878787879	
0.775406815406815	0.748961038961039	0.730104617604618	0.66951936951937	
0.836445689386866	0.746011396011396	0.784644522144522	0.832670454545455	
0.827179487179487	0.65540293040293	0.805839002267574	0.826965811965812	
0.795714285714286	0.829318181818182	0.761199294532628	0.753888888888889	
0.764831834831835	0.660573339703775	0.833116883116883	0.795844895844896	
0.839105339105339	0.831483733657647	0.864197530864197	0.746946386946387	
0.771428571428571	0.79671868747499	0.876724763979666	0.731746031746032	
0.816520146520146	0.89991341991342	0.769350649350649	0.805454545454545	
0.738095238095238	0.836844636844637	0.817249417249417	0.785970819304153	
0.826556776556777	0.775396825396826	0.781676656676657	0.813131313131313	
0.771904761904762	0.831481481481481	0.823888888888889	0.888095238095238	
0.691738168951791	0.749270482603816	0.831341991341991	0.75669392336059	
0.794047619047619	0.788228438228438	0.811111111111111	0.773979107312441	
0.852857142857143	0.799671016118384	0.739057239057239	0.64016339869281	
0.834351432880845	0.760138626805293	0.886772486772487	0.771805449452508	
0.771843434343434	0.750746753246753	0.688686868686869	0.798874458874459	
0.858641975308642	0.871260683760684	0.82038961038961	0.817551584218251	
0.79969474969475	0.680873015873016	0.845962679296013	0.921957671957672	
0.837301587301587	0.920634920634921	0.919047619047619	0.788461538461538	
0.899712918660287	0.825617283950617	0.879761904761905	0.823906093906094	
0.596729055258467	0.82	0.756612276612276	0.795679012345679	
0.861928104575163	0.746738816738817	0.821437484084543	0.807645078233313	
0.91	0.921428571428571	0.867873303167421	0.75295967190704	
0.898316498316498	0.901190476190476	0.85662732329399	0.780947940947941	
0.926666666666667	0.779295704295704	0.787777777777778	0.847619047619048	
0.754310134310134	0.86991341991342	0.82804625199362	0.67283950617284	
0.801373626373626	0.839506172839506	0.759404761904762	0.757877886002886	
0.848412698412698	0.796703296703297	0.904436304436304	0.891737891737892	
0.805454545454545	0.836190476190476	0.842857142857143	0.87209595959596	
0.775260295260295	0.826341991341991	0.817540484207151	0.972222222222222	
0.862445887445887	0.799206349206349	0.829982363315697	0.820050505050505	
0.949206349206349	0.695151515151515	0.87991341991342	0.888802308802309	
0.872948717948718	0.911111111111111	0.753159041394336	0.941176470588235	
0.779469696969697	0.863165266106443	0.819017094017094	0.827269984917044	
0.802463092463092	0.802691197691198	0.95959595959596	0.861816578483245	
0.896103896103896	0.948717948717949	0.810412953060012	0.896296296296296	
0.798249898249898	0.859365079365079	0.939705882352941	0.938034188034188	
0.818082788671024	0.88986568986569	0.966666666666667	0.849761904761905	
0.921969696969697	0.776010101010101	0.777067377067377	0.932539682539683	
0.904957264957265	0.754675324675325	0.842651515151515	0.931818181818182	
0.845981795981796	0.874229691876751	0.902222222222222	0.853086419753086	
0.816969696969697	0.832463092463093	0.904365079365079	0.86002886002886	
0.834283000949668	0.912698412698413	0.87017094017094	0.904761904761905	
0.735103785103785	0.77952380952381	0.745726495726496	0.905050505050505	
0.880413703943116	0.853266178266178	0.90959595959596	0.977777777777778	
0.846866096866097	0.826278659611993	0.839761904761905	0.881385281385281	
0.759285714285714	0.886772486772487	0.877628544295211	0.884271284271284	
0.766446208112875	0.835798319327731	0.863990127519539	0.83641975308642	
0.878484848484849	0.931428571428571	0.878095238095238	0.788439955106622	
0.798992673992674	0.977777777777778	0.864166666666667	0.96	
0.877385620915033	0.781746031746032	0.888370888370888	0.87026862026862	
0.917857142857143	0.953333333333333	0.865784832451499	0.808484848484849	
0.781168831168831	0.763888888888889	0.77436974789916	0.86952380952381	
0.963636363636364	0.814163614163614	0.926048951048951	0.750481000481	
0.849285714285714	0.867281840966051	0.904761904761905	0.904040404040404	
0.929377289377289	0.861111111111111	0.903703703703704	0.959183673469388	
0.887941176470588	0.787373737373737	0.913636363636364	0.89311922645256	
1	0.854516594516594	0.902645502645503	0.813730158730159	
0.862078438802577	0.866984126984127	0.911111111111111	0.72850328683662	
0.919230769230769	0.809171075837742	0.953703703703704	0.873977873977874	
0.701818760949196	0.830865800865801	0.845039682539683	0.793246753246753	
0.801904761904762	0.885262885262885	0.777857142857143	0.9	
0.902857142857143	0.882222222222222	0.891904761904762	0.914285714285714	
0.852564102564103	0.860595238095238	0.950617283950617	0.902222222222222	
0.762334919981979	0.933846153846154	0.916305916305916	0.93	
0.902564102564103	0.892063492063492	0.867807192807193	0.97979797979798	
0.896134453781513	0.966666666666667	0.807222222222222	0.926984126984127	
0.912537136066548	0.96	0.905723905723906	0.847087912087912	
